2,2,B01,2026-05-03T02:00,2026-05-03T02:47:05.769019600,50.0
3,1,A01,2026-05-03T02:46:56.581458400,2026-05-03T02:47:10.912213200,50.0
4,1,A03,2026-05-03T02:47:18.381279400,2026-05-03T02:47:20.668017100,50.0
5,1,V02,2026-05-03T03:41:11.852759200,null,null
6,5,A02,2026-05-13T15:35:04.573909,2026-05-13T15:35:06.952920100,50.0
7,6,B02,2026-05-15T18:36:49.223501400,null,null
8,7,A03,2026-05-15T21:13:14.780977700,2026-05-15T21:13:22.772174300,50.0
9,7,V01,2026-05-15T21:15:44.135068800,null,null
10,8,A01,2026-05-15T22:12:00.826822700,null,null
11,9,A990,2026-05-17T08:08:38.387789500,2026-05-17T08:08:43.206539300,50.0
12,9,A990,2026-05-17T09:21:40.106477100,2026-05-17T09:33:07.667787900,50.0
